Supplier ID,Supplier Name,Department,Role Title,Role Description,Years of Experience,Fully Loaded Rate,Estimated Hours,Currency,Total Rate
158866,Supplier C,Account Services,Chief Customer Officer,"The Chief Customer Officer is responsible for developing and implementing strategies to enhance customer experience and satisfaction. They lead customer-centric initiatives, gather customer insights, and drive customer-focused decision-making across the organization. They work closely with cross-functional teams to align business objectives with customer needs and foster long-term customer loyalty.",,449,1800,USD,808200
158866,Supplier C,Account Services,Client Service Director,"The Client Service Director oversees the client service department and ensures the delivery of exceptional service to clients. They collaborate with clients to understand their goals, develop strategic plans, and lead the execution of projects. They also manage client budgets, drive account growth, and foster strong client relationships.",,491,1800,USD,883800
158866,Supplier C,Account Services,Group Account Head,"Group Account Heads lead a group of accounts and are responsible for overall account management. They develop and implement account strategies, oversee client relationships, and ensure client satisfaction. They collaborate with internal teams to deliver integrated solutions, drive revenue growth, and maintain a high level of client service.",,315,1800,USD,567000
158866,Supplier C,Account Services,Account Management Supervisor,"Account Management Supervisors lead a team of account managers and executives. They provide guidance, support, and strategic direction to the team. They oversee client relationships, monitor account performance, and ensure client satisfaction. They collaborate with internal departments to deliver integrated solutions and achieve account objectives.",,202,1800,USD,363600
158866,Supplier C,Account Services,Account Management Executive,"Account Management Executives support the account management team in maintaining client relationships and meeting their needs. They assist in project coordination, communication with clients, and ensuring timely delivery of services. They may also participate in account planning and contribute to client strategy development.",,116,1800,USD,208800
158866,Supplier C,Business Strategy,Chief Marketing Officer,"The Chief Marketing Officer (CMO) is responsible for the overall marketing strategy and direction of the company. They provide leadership, set marketing objectives, and oversee the implementation of marketing initiatives. They collaborate with senior management, stakeholders, and cross-functional teams to drive business growth and achieve marketing excellence.",,510,1800,USD,918000
158866,Supplier C,Business Strategy,Junior Account Planner,"Junior Account Planners support the development of marketing strategies and plans. They conduct market research, analyze consumer insights, and assist in creating targeted marketing campaigns. They collaborate with account planners and stakeholders to align marketing efforts with business goals and customer needs.",,137,1800,USD,246600
158866,Supplier C,Commerce Strategy,Head of Commerce,"The Head of Commerce is responsible for overseeing all aspects of the company's commerce operations. They develop and execute commerce strategies, manage online sales channels, and drive revenue growth through e-commerce initiatives. They collaborate with cross-functional teams to optimize user experience, increase conversion rates, and achieve commerce objectives.",,297,1800,USD,534600
158866,Supplier C,Commerce Strategy,Group Head,"Group Heads oversee a group of accounts or projects within the marketing company. They provide leadership, strategic guidance, and ensure the successful delivery of client services. They collaborate with internal teams, manage resources, and drive account growth and profitability.",,326,1800,USD,586800
158866,Supplier C,Commerce Strategy,Senior Head of Commerce,"Senior Heads of Commerce lead and manage a team responsible for the company's commerce operations. They provide strategic direction, oversee commerce strategies, and ensure effective execution of e-commerce initiatives. They collaborate with cross-functional teams to drive revenue growth, optimize user experience, and achieve commerce objectives.",,434,1800,USD,781200
158866,Supplier C,Commerce Strategy,Commerce Insight Analyst,"Commerce Insight Analysts analyze e-commerce data and consumer behavior to identify trends, opportunities, and areas for improvement. They provide insights to optimize online sales, enhance customer experience, and drive revenue growth. They collaborate with cross-functional teams to support e-commerce initiatives and achieve business objectives.",,90,1800,USD,162000
