Supplier ID,Supplier Name,Department,Role Title,Role Description,Years of Experience,Fully Loaded Rate,Estimated Hours,Currency,Total Rate
123863,Supplier B,Client Management,Chief Client Services Officer,"Leads the client services department and establishes strategic client relationships. Sets the overall direction and vision for client services, ensuring exceptional client experiences and driving client satisfaction. Collaborates with senior leadership to align client strategies with business objectives.",,458,1800,USD,824400
123863,Supplier B,Client Management,Director of Client Services,Leads the client services department and manages client relationships. Develops and implements strategies to meet client objectives and ensures high client satisfaction. Collaborates with cross-functional teams to deliver effective marketing solutions.,,491,1800,USD,883800
123863,Supplier B,Client Management,Group Director,"Manages a group of teams or departments within the company. Provides strategic guidance, sets goals, and ensures effective collaboration and performance. Collaborates with senior leadership to align group strategies with overall business objectives.",,297,1800,USD,534600
123863,Supplier B,Client Management,Senior Management Supervisor,"Provides leadership and guidance to a team of managers within the organization. Sets strategic direction, manages resources, and drives performance. Collaborates with senior executives to achieve business objectives and promote organizational growth.",,202,1800,USD,363600
123863,Supplier B,Competitive Analysis,Research Project Supervisor,"Manages research projects from initiation to completion. Develops project plans, oversees data collection and analysis, and delivers research findings. Collaborates with research teams and stakeholders to meet project objectives and deliver actionable insights.",,185,1800,USD,333000
123863,Supplier B,Competitive Analysis,Director of Research,"Manages the research department and oversees research initiatives and projects. Develops research strategies, collects and analyzes data, and provides actionable insights to inform marketing strategies and decision-making. Collaborates with cross-functional teams to drive business growth.",,383,1800,USD,689400
123863,Supplier B,Corporate Communications,Account Management Director,"Manages the account management department and oversees client relationships. Sets strategic direction, ensures client satisfaction, and drives business growth. Collaborates with cross-functional teams to deliver effective marketing solutions.",,232,1800,USD,417600
123863,Supplier B,Corporate Communications,Senior Account Supervisor,"Manages and maintains client relationships at a senior level. Develops account strategies, leads account teams, and ensures client satisfaction. Collaborates with cross-functional teams to deliver integrated marketing solutions and achieve business goals.",,217,1800,USD,390600
123863,Supplier B,Corporate Communications,Group Account Supervisor,"Manages and supervises a group of account executives and account managers. Oversees client relationships, develops account strategies, and ensures client satisfaction. Collaborates with cross-functional teams to deliver integrated marketing solutions.",,349,1800,USD,628200
123863,Supplier B,Corporate Communications,Senior Management Supervisor,"Provides leadership and guidance to a team of managers within the organization. Sets strategic direction, manages resources, and drives performance. Collaborates with senior executives to achieve business objectives and promote organizational growth.",,310,1800,USD,558000
